customer_id,segment,retention_priority,R_score,F_score,M_score,RFM_score
CUST00142,Hibernating,6,1,2,1,4
CUST00143,Champions,4,4,4,5,13
CUST00144,At Risk,1,2,3,3,8
CUST00145,Potential Loyalists,2,4,2,2,8
CUST00146,At Risk,1,2,2,3,7
CUST00147,Loyal Customers,3,3,4,5,12
CUST00148,Champions,4,5,4,5,14
CUST00149,Potential Loyalists,2,5,2,3,10
CUST00150,Loyal Customers,3,4,3,3,10
CUST00151,Loyal Customers,3,3,4,5,12
CUST00152,Champions,4,4,4,5,13
CUST00153,Potential Loyalists,2,5,2,3,10
CUST00154,Champions,4,5,4,5,14
CUST00155,Champions,4,5,4,5,14
CUST00156,Loyal Customers,3,4,3,5,12
CUST00157,Potential Loyalists,2,5,2,2,9
CUST00158,At Risk,1,1,2,3,6
CUST00159,Hibernating,6,1,1,1,3
CUST00160,Hibernating,6,1,2,2,5
CUST00161,Champions,4,5,4,4,13
CUST00162,At Risk,1,2,3,4,9
CUST00163,Needs Attention,5,3,2,1,6
CUST00164,Hibernating,6,1,1,1,3
CUST00165,At Risk,1,2,4,4,10
CUST00166,Potential Loyalists,2,5,2,4,11
CUST00167,Hibernating,6,1,1,1,3
CUST00168,Loyal Customers,3,3,3,5,11
CUST00169,Hibernating,6,1,1,1,3
CUST00170,Loyal Customers,3,5,3,4,12
CUST00171,Potential Loyalists,2,5,2,3,10
CUST00172,Potential Loyalists,2,5,2,4,11
CUST00173,Needs Attention,5,3,2,1,6
CUST00174,Hibernating,6,2,2,1,5
CUST00175,Loyal Customers,3,3,3,4,10
CUST00176,Champions,4,4,4,5,13
CUST00177,Needs Attention,5,3,2,1,6
CUST00178,Loyal Customers,3,5,3,4,12
CUST00179,Champions,4,4,4,4,12
CUST00180,At Risk,1,2,3,4,9
CUST00181,Potential Loyalists,2,5,2,3,10
CUST00182,Potential Loyalists,2,4,2,1,7
CUST00183,At Risk,1,1,2,4,7
CUST00184,Champions,4,5,4,5,14
CUST00185,At Risk,1,2,3,3,8
CUST00186,Potential Loyalists,2,4,2,3,9
CUST00187,Hibernating,6,1,2,2,5
CUST00188,Loyal Customers,3,4,3,4,11
CUST00189,Hibernating,6,2,2,2,6
CUST00190,Potential Loyalists,2,5,2,2,9
CUST00191,Potential Loyalists,2,4,2,1,7
CUST00192,Loyal Customers,3,3,4,5,12
CUST00193,Hibernating,6,1,2,2,5
CUST00194,Loyal Customers,3,3,4,5,12
CUST00195,Potential Loyalists,2,4,2,2,8
CUST00196,Loyal Customers,3,4,3,4,11
CUST00197,Loyal Customers,3,5,3,5,13
CUST00198,Champions,4,4,4,5,13
CUST00199,Champions,4,5,4,5,14
CUST00200,Champions,4,5,4,5,14
CUST00201,Hibernating,6,2,2,2,6
CUST00202,At Risk,1,2,2,4,8
CUST00203,At Risk,1,2,3,3,8
CUST00204,Potential Loyalists,2,4,2,2,8
CUST00205,Champions,4,4,4,4,12
CUST00206,At Risk,1,2,3,3,8
CUST00207,Potential Loyalists,2,5,2,1,8
CUST00208,At Risk,1,2,4,5,11
CUST00209,Hibernating,6,1,1,1,3
CUST00210,Hibernating,6,2,2,2,6
CUST00211,At Risk,1,2,3,5,10
CUST00212,Hibernating,6,1,1,1,3
CUST00213,At Risk,1,2,2,4,8
CUST00214,Needs Attention,5,3,2,4,9
CUST00215,Potential Loyalists,2,4,2,2,8
CUST00216,Needs Attention,5,3,2,4,9
CUST00217,Loyal Customers,3,3,3,3,9
CUST00218,Potential Loyalists,2,4,2,3,9
CUST00219,At Risk,1,1,3,4,8
CUST00220,Loyal Customers,3,4,3,3,10
CUST00221,Loyal Customers,3,5,3,3,11
CUST00222,Hibernating,6,1,1,1,3
CUST00223,At Risk,1,2,2,3,7
CUST00224,At Risk,1,2,2,3,7
CUST00225,At Risk,1,2,3,5,10
CUST00226,Loyal Customers,3,3,4,5,12
CUST00227,At Risk,1,1,2,3,6
CUST00228,Loyal Customers,3,3,4,4,11
CUST00229,Hibernating,6,2,2,2,6
CUST00230,Champions,4,4,5,5,14
CUST00231,Potential Loyalists,2,4,2,2,8
CUST00232,Needs Attention,5,3,2,3,8
CUST00233,Hibernating,6,1,1,1,3
CUST00234,Loyal Customers,3,5,3,4,12
CUST00235,Hibernating,6,2,2,2,6
CUST00236,Needs Attention,5,3,2,3,8
CUST00237,Champions,4,5,4,5,14
CUST00238,Needs Attention,5,3,2,2,7
CUST00239,Hibernating,6,1,1,1,3
CUST00240,Loyal Customers,3,3,3,5,11
CUST00241,Loyal Customers,3,5,3,5,13
CUST00242,Loyal Customers,3,3,4,5,12
CUST00243,Needs Attention,5,3,2,2,7
CUST00244,At Risk,1,2,3,5,10
CUST00245,Loyal Customers,3,3,3,4,10
CUST00246,Loyal Customers,3,3,3,3,9
CUST00247,Loyal Customers,3,3,3,3,9
CUST00248,Loyal Customers,3,3,4,4,11
CUST00249,Hibernating,6,1,2,1,4
CUST00250,Potential Loyalists,2,4,2,3,9
CUST00251,Potential Loyalists,2,4,2,3,9
CUST00252,Hibernating,6,1,1,1,3
CUST00253,Hibernating,6,1,1,1,3
CUST00254,Hibernating,6,1,1,1,3
CUST00255,Champions,4,4,4,5,13
CUST00256,Hibernating,6,1,1,1,3
CUST00257,Loyal Customers,3,3,3,3,9
CUST00258,Champions,4,4,4,5,13
CUST00259,Hibernating,6,1,1,1,3
CUST00260,Loyal Customers,3,5,3,4,12
CUST00261,Needs Attention,5,3,2,1,6
CUST00262,Loyal Customers,3,5,3,4,12
CUST00263,Champions,4,4,4,4,12
CUST00264,Potential Loyalists,2,4,3,2,9
CUST00265,Needs Attention,5,3,2,2,7
CUST00266,At Risk,1,1,3,5,9
CUST00267,Potential Loyalists,2,4,2,2,8
CUST00268,Loyal Customers,3,5,3,4,12
CUST00269,Champions,4,4,4,5,13
CUST00270,Loyal Customers,3,3,3,3,9
CUST00271,Loyal Customers,3,4,3,4,11
CUST00272,Champions,4,5,5,5,15
CUST00273,Champions,4,5,5,5,15
CUST00274,Needs Attention,5,3,2,3,8
CUST00275,Hibernating,6,1,1,1,3
CUST00276,Loyal Customers,3,3,3,5,11
CUST00277,Potential Loyalists,2,5,2,1,8
CUST00278,Needs Attention,5,3,2,1,6
CUST00279,Champions,4,5,4,5,14
CUST00280,Loyal Customers,3,5,3,4,12
CUST00281,Loyal Customers,3,4,3,3,10
CUST00282,Hibernating,6,1,1,1,3
CUST00283,Champions,4,5,4,5,14
CUST00284,Hibernating,6,1,1,1,3
CUST00285,Loyal Customers,3,5,3,3,11
CUST00286,Hibernating,6,1,1,1,3
CUST00287,Loyal Customers,3,3,3,5,11
CUST00288,At Risk,1,2,3,3,8
CUST00289,Loyal Customers,3,5,3,3,11
CUST00290,Potential Loyalists,2,5,2,1,8
CUST00291,Needs Attention,5,3,2,4,9
CUST00292,Potential Loyalists,2,4,2,2,8
CUST00293,Hibernating,6,1,1,1,3
CUST00294,At Risk,1,2,2,4,8
CUST00295,Potential Loyalists,2,5,2,2,9
CUST00296,Hibernating,6,2,2,2,6
CUST00297,At Risk,1,1,2,3,6
CUST00298,Hibernating,6,1,1,1,3
CUST00299,Hibernating,6,1,1,1,3
CUST00300,Potential Loyalists,2,5,2,2,9
CUST00301,Loyal Customers,3,5,3,4,12
CUST00302,At Risk,1,1,3,4,8
CUST00303,Loyal Customers,3,3,3,5,11
CUST00304,At Risk,1,2,3,4,9
CUST00305,Hibernating,6,1,2,2,5
CUST00306,Champions,4,5,4,5,14
CUST00307,Potential Loyalists,2,4,2,1,7
CUST00308,Loyal Customers,3,3,3,4,10
CUST00309,Potential Loyalists,2,5,2,3,10
CUST00310,Potential Loyalists,2,4,2,2,8
CUST00311,Needs Attention,5,3,2,4,9
CUST00312,Needs Attention,5,3,2,2,7
CUST00313,At Risk,1,1,2,3,6
CUST00314,Potential Loyalists,2,5,2,2,9
CUST00315,Champions,4,5,5,5,15
CUST00316,At Risk,1,2,3,3,8
CUST00317,At Risk,1,2,2,4,8
CUST00318,Loyal Customers,3,3,3,5,11
CUST00319,Hibernating,6,2,2,2,6
CUST00320,Champions,4,4,4,4,12
CUST00321,At Risk,1,2,3,3,8
CUST00322,Champions,4,5,5,5,15
CUST00323,Loyal Customers,3,5,3,5,13
CUST00324,Hibernating,6,1,1,1,3
CUST00325,Champions,4,4,4,5,13
CUST00326,Hibernating,6,2,2,2,6
CUST00327,Potential Loyalists,2,5,2,1,8
CUST00328,Hibernating,6,1,1,1,3
CUST00329,Potential Loyalists,2,5,2,1,8
CUST00330,Loyal Customers,3,3,4,4,11
CUST00331,Hibernating,6,1,2,2,5
CUST00332,Loyal Customers,3,4,3,5,12
CUST00333,Needs Attention,5,3,2,3,8
CUST00334,Needs Attention,5,3,2,3,8
CUST00335,At Risk,1,1,3,4,8
CUST00336,Loyal Customers,3,4,3,3,10
CUST00337,Loyal Customers,3,5,3,4,12
CUST00338,Potential Loyalists,2,5,2,3,10
CUST00339,Hibernating,6,2,2,2,6
CUST00340,Champions,4,4,4,5,13
CUST00341,Potential Loyalists,2,5,2,3,10
CUST00342,Loyal Customers,3,5,3,5,13
CUST00343,Hibernating,6,2,2,2,6
CUST00344,Hibernating,6,1,1,1,3
CUST00345,Champions,4,5,4,5,14
CUST00346,Needs Attention,5,3,2,2,7
CUST00347,Hibernating,6,1,1,1,3
CUST00348,Champions,4,5,4,5,14
CUST00349,Loyal Customers,3,3,4,5,12
CUST00350,Potential Loyalists,2,4,2,2,8
CUST00351,Champions,4,5,4,5,14
CUST00352,Potential Loyalists,2,4,2,3,9
CUST00353,At Risk,1,2,3,3,8
CUST00354,Loyal Customers,3,4,3,3,10
CUST00355,At Risk,1,1,2,3,6
CUST00356,Champions,4,5,4,5,14
CUST00357,Potential Loyalists,2,4,2,2,8
CUST00358,At Risk,1,2,3,4,9
CUST00359,Champions,4,5,4,5,14
CUST00360,Potential Loyalists,2,5,2,4,11
CUST00361,Hibernating,6,1,2,1,4
CUST00362,Champions,4,4,4,4,12
CUST00363,Potential Loyalists,2,4,2,2,8
CUST00364,Hibernating,6,1,1,1,3
CUST00365,At Risk,1,1,2,3,6
CUST00366,At Risk,1,2,3,5,10
CUST00367,Hibernating,6,1,1,1,3
CUST00368,Needs Attention,5,3,2,1,6
CUST00369,Needs Attention,5,3,2,3,8
CUST00370,Hibernating,6,1,2,2,5
CUST00371,At Risk,1,2,2,3,7
CUST00372,Needs Attention,5,3,2,2,7
CUST00373,Loyal Customers,3,3,3,4,10
CUST00374,Hibernating,6,1,1,1,3
CUST00375,Loyal Customers,3,3,3,3,9
CUST00376,Loyal Customers,3,4,3,4,11
CUST00377,Loyal Customers,3,3,4,4,11
CUST00378,At Risk,1,2,2,4,8
CUST00379,Needs Attention,5,3,2,2,7
CUST00380,Champions,4,4,4,4,12
CUST00381,Hibernating,6,1,1,1,3
CUST00382,Loyal Customers,3,4,3,3,10
CUST00383,Champions,4,5,5,5,15
CUST00384,Potential Loyalists,2,4,2,2,8
CUST00385,Loyal Customers,3,3,4,4,11
CUST00386,Loyal Customers,3,5,3,4,12
CUST00387,Potential Loyalists,2,4,2,3,9
CUST00388,Potential Loyalists,2,4,2,2,8
CUST00389,Champions,4,5,5,5,15
CUST00390,Loyal Customers,3,3,3,4,10
CUST00391,Loyal Customers,3,5,3,5,13
CUST00392,At Risk,1,2,2,3,7
CUST00393,Loyal Customers,3,5,3,5,13
CUST00394,Potential Loyalists,2,5,2,2,9
CUST00395,Potential Loyalists,2,4,2,2,8
CUST00396,Champions,4,5,5,5,15
CUST00397,Needs Attention,5,3,2,4,9
CUST00398,Champions,4,5,4,5,14
CUST00399,Hibernating,6,1,1,1,3
CUST00400,Potential Loyalists,2,4,2,2,8
CUST00401,Needs Attention,5,3,2,2,7
CUST00402,Hibernating,6,2,2,1,5
CUST00403,Loyal Customers,3,4,3,5,12
CUST00404,Hibernating,6,1,1,1,3
CUST00405,Potential Loyalists,2,5,2,1,8
CUST00406,Loyal Customers,3,5,4,3,12
CUST00407,Potential Loyalists,2,5,2,4,11
CUST00408,Potential Loyalists,2,4,2,3,9
CUST00409,Loyal Customers,3,3,4,4,11
CUST00410,Loyal Customers,3,5,3,4,12
CUST00411,Hibernating,6,1,1,1,3
CUST00412,Hibernating,6,1,1,1,3
CUST00413,Potential Loyalists,2,4,2,1,7
CUST00414,Potential Loyalists,2,5,2,1,8
CUST00415,At Risk,1,2,2,4,8
CUST00416,Loyal Customers,3,4,3,3,10
CUST00417,Hibernating,6,1,2,2,5
CUST00418,Loyal Customers,3,5,3,5,13
CUST00419,At Risk,1,2,3,4,9
CUST00420,Potential Loyalists,2,5,2,4,11
CUST00421,Potential Loyalists,2,5,2,4,11
CUST00422,Hibernating,6,2,2,2,6
CUST00423,At Risk,1,2,3,5,10
CUST00424,Hibernating,6,2,2,2,6
CUST00425,At Risk,1,2,3,4,9
CUST00426,Needs Attention,5,3,2,3,8
CUST00427,Potential Loyalists,2,5,3,1,9
CUST00428,Loyal Customers,3,3,3,3,9
CUST00429,Potential Loyalists,2,5,2,2,9
CUST00430,Champions,4,4,4,5,13
CUST00431,At Risk,1,1,3,3,7
CUST00432,At Risk,1,2,3,5,10
CUST00433,Loyal Customers,3,4,3,3,10
CUST00434,Hibernating,6,1,1,1,3
CUST00435,Hibernating,6,1,1,1,3
CUST00436,Loyal Customers,3,3,4,5,12
CUST00437,At Risk,1,1,2,3,6
CUST00438,Loyal Customers,3,3,4,5,12
CUST00439,Hibernating,6,2,2,2,6
CUST00440,Needs Attention,5,3,2,1,6
CUST00441,Hibernating,6,1,1,1,3
CUST00442,Loyal Customers,3,3,4,3,10
CUST00443,Hibernating,6,1,1,1,3
CUST00444,Hibernating,6,1,1,1,3
CUST00445,Potential Loyalists,2,4,2,4,10
CUST00446,Potential Loyalists,2,4,2,2,8
CUST00447,Champions,4,4,5,5,14
CUST00448,Hibernating,6,2,2,2,6
CUST00449,Hibernating,6,1,1,1,3
CUST00450,Potential Loyalists,2,4,2,3,9
CUST00451,Loyal Customers,3,4,3,5,12
CUST00452,Hibernating,6,1,1,1,3
CUST00453,Champions,4,5,4,5,14
CUST00454,Champions,4,5,4,4,13
CUST00455,Hibernating,6,1,1,1,3
CUST00456,At Risk,1,2,2,3,7
CUST00457,Hibernating,6,1,1,1,3
CUST00458,Loyal Customers,3,5,3,4,12
CUST00459,Hibernating,6,1,1,1,3
CUST00460,Champions,4,5,5,5,15
CUST00461,Hibernating,6,1,1,1,3
CUST00462,Potential Loyalists,2,4,2,3,9
CUST00463,Champions,4,4,4,5,13
CUST00464,At Risk,1,2,4,4,10
CUST00465,At Risk,1,1,2,4,7
CUST00466,Champions,4,4,5,5,14
CUST00467,Potential Loyalists,2,5,2,2,9
CUST00468,Hibernating,6,1,1,1,3
CUST00469,Champions,4,5,4,4,13
CUST00470,Hibernating,6,1,2,1,4
CUST00471,Hibernating,6,2,2,1,5
CUST00472,At Risk,1,2,2,4,8
CUST00473,At Risk,1,2,3,4,9
CUST00474,Champions,4,4,4,4,12
CUST00475,Loyal Customers,3,4,3,3,10
CUST00476,Hibernating,6,2,2,1,5
CUST00477,Loyal Customers,3,3,3,4,10
CUST00478,Loyal Customers,3,4,3,3,10
CUST00479,Hibernating,6,1,1,1,3
CUST00480,Hibernating,6,1,2,2,5
CUST00481,Loyal Customers,3,4,3,3,10
CUST00482,Potential Loyalists,2,4,2,3,9
CUST00483,At Risk,1,2,3,4,9
CUST00484,Loyal Customers,3,3,3,4,10
CUST00485,Hibernating,6,1,1,1,3
CUST00486,Potential Loyalists,2,4,2,3,9
CUST00487,Potential Loyalists,2,4,2,2,8
CUST00488,Hibernating,6,1,1,1,3
CUST00489,Hibernating,6,1,1,1,3
CUST00490,Potential Loyalists,2,5,2,2,9
CUST00491,Hibernating,6,2,2,2,6
CUST00492,Needs Attention,5,3,2,2,7
CUST00493,At Risk,1,2,3,4,9
CUST00494,Potential Loyalists,2,5,2,2,9
CUST00495,Loyal Customers,3,4,3,5,12
CUST00496,Potential Loyalists,2,4,2,4,10
CUST00497,At Risk,1,1,2,4,7
CUST00498,Loyal Customers,3,4,3,3,10
CUST00499,Potential Loyalists,2,5,2,4,11
CUST00500,Loyal Customers,3,4,3,5,12
CUST00501,Champions,4,5,4,5,14
CUST00502,Loyal Customers,3,5,3,4,12
CUST00503,Loyal Customers,3,3,4,5,12
CUST00504,Potential Loyalists,2,5,2,4,11
CUST00505,At Risk,1,2,2,3,7
CUST00506,Champions,4,4,4,5,13
CUST00507,At Risk,1,2,2,5,9
CUST00508,At Risk,1,1,2,3,6
CUST00509,Potential Loyalists,2,4,2,3,9
CUST00510,Hibernating,6,1,2,2,5
CUST00511,Loyal Customers,3,5,3,4,12
CUST00512,Champions,4,5,4,5,14
CUST00513,Champions,4,4,4,5,13
CUST00514,At Risk,1,2,2,4,8
CUST00515,Loyal Customers,3,5,3,4,12
CUST00516,Potential Loyalists,2,4,2,2,8
CUST00517,Needs Attention,5,3,2,2,7
CUST00518,Potential Loyalists,2,4,2,1,7
CUST00519,Needs Attention,5,3,2,2,7
CUST00520,Potential Loyalists,2,5,2,2,9
CUST00521,Champions,4,4,5,5,14
CUST00522,Hibernating,6,1,1,1,3
CUST00523,Potential Loyalists,2,4,2,3,9
CUST00524,Potential Loyalists,2,5,2,4,11
CUST00525,Hibernating,6,1,1,1,3
CUST00526,Potential Loyalists,2,5,2,3,10
CUST00527,At Risk,1,2,2,5,9
CUST00528,Potential Loyalists,2,5,2,2,9
CUST00529,Needs Attention,5,3,2,3,8
CUST00530,Loyal Customers,3,3,3,4,10
CUST00531,Potential Loyalists,2,4,3,2,9
CUST00532,At Risk,1,2,2,3,7
CUST00533,Potential Loyalists,2,5,2,1,8
CUST00534,Loyal Customers,3,3,3,3,9
CUST00535,Hibernating,6,2,2,1,5
CUST00536,Loyal Customers,3,3,4,5,12
CUST00537,Potential Loyalists,2,5,2,2,9
CUST00538,Loyal Customers,3,3,3,4,10
CUST00539,Loyal Customers,3,3,4,5,12
CUST00540,Loyal Customers,3,3,3,3,9
CUST00541,At Risk,1,2,4,5,11
CUST00542,Needs Attention,5,3,2,2,7
CUST00543,Hibernating,6,1,1,1,3
CUST00544,Needs Attention,5,3,2,3,8
CUST00545,Potential Loyalists,2,5,2,2,9
CUST00546,Loyal Customers,3,5,3,5,13
CUST00547,Potential Loyalists,2,4,2,3,9
CUST00548,At Risk,1,1,2,3,6
CUST00549,At Risk,1,2,3,3,8
CUST00550,Potential Loyalists,2,5,2,2,9
CUST00551,Potential Loyalists,2,4,2,2,8
CUST00552,Potential Loyalists,2,5,2,2,9
CUST00553,Hibernating,6,1,1,1,3
CUST00554,Loyal Customers,3,5,3,3,11
CUST00555,Loyal Customers,3,4,3,3,10
CUST00556,Potential Loyalists,2,4,2,3,9
CUST00557,Loyal Customers,3,5,3,3,11
CUST00558,Hibernating,6,1,1,1,3
CUST00559,Potential Loyalists,2,5,2,2,9
CUST00560,Hibernating,6,1,1,1,3
CUST00561,Potential Loyalists,2,5,2,1,8
CUST00562,Hibernating,6,1,1,1,3
CUST00563,Hibernating,6,2,2,2,6
CUST00564,Hibernating,6,2,2,2,6
CUST00565,Potential Loyalists,2,4,2,1,7
CUST00566,Potential Loyalists,2,4,2,2,8
CUST00567,Loyal Customers,3,5,3,4,12
CUST00568,Potential Loyalists,2,4,2,2,8
CUST00569,Hibernating,6,2,2,2,6
CUST00570,At Risk,1,1,2,3,6
CUST00571,Potential Loyalists,2,4,2,2,8
CUST00572,Loyal Customers,3,3,4,5,12
CUST00573,At Risk,1,2,4,4,10
CUST00574,Champions,4,5,5,5,15
CUST00575,Needs Attention,5,3,2,2,7
CUST00576,Potential Loyalists,2,4,2,2,8
CUST00577,Loyal Customers,3,3,3,3,9
CUST00578,Hibernating,6,1,1,1,3
CUST00579,Potential Loyalists,2,5,2,1,8
CUST00580,Needs Attention,5,3,2,3,8
CUST00581,Loyal Customers,3,3,3,4,10
CUST00582,Hibernating,6,1,1,1,3
CUST00583,Hibernating,6,1,1,1,3
CUST00584,Needs Attention,5,3,2,2,7
CUST00585,At Risk,1,2,3,3,8
CUST00586,Hibernating,6,2,2,1,5
CUST00587,Potential Loyalists,2,5,2,1,8
CUST00588,Needs Attention,5,3,2,2,7
CUST00589,Needs Attention,5,3,2,2,7
CUST00590,Hibernating,6,2,2,2,6
CUST00591,Needs Attention,5,3,2,3,8
CUST00592,Potential Loyalists,2,5,2,2,9
CUST00593,Champions,4,4,4,5,13
CUST00594,Hibernating,6,2,2,2,6
CUST00595,Champions,4,5,4,4,13
CUST00596,Needs Attention,5,3,2,2,7
CUST00597,Needs Attention,5,3,2,4,9
CUST00598,Potential Loyalists,2,5,2,2,9
CUST00599,At Risk,1,1,3,5,9
CUST00600,Hibernating,6,1,1,1,3
CUST00601,Needs Attention,5,3,2,2,7
CUST00602,Hibernating,6,2,2,1,5
CUST00603,Champions,4,5,5,5,15
CUST00604,At Risk,1,2,2,3,7
CUST00605,At Risk,1,1,3,3,7
CUST00606,Hibernating,6,2,2,1,5
CUST00607,Hibernating,6,1,1,1,3
CUST00608,Loyal Customers,3,4,3,4,11
CUST00609,Champions,4,5,5,5,15
CUST00610,Champions,4,4,4,5,13
CUST00611,Hibernating,6,1,1,1,3
CUST00612,Loyal Customers,3,3,3,5,11
CUST00613,Champions,4,5,4,5,14
