customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split,R_score,F_score,M_score,RFM_score,segment,retention_priority
CUST02195,2025-09-30,Tier 1,25-34,Marketplace,,Hair Care,Yes,119,5,3072.43,0.0,0.296,3.8,2,0,0.0,0.0,393,3,14,1,1,1,4,1,26,1,train,2,5,5,12,At Risk,1
CUST02169,2025-09-30,Tier 3,18-24,Referral,Gold,Hair Care,Yes,94,4,3065.81,0.0,0.167,3.0,2,0,0.0,0.0,411,9,50,4,1,3,6,1,16,0,train,2,4,5,11,At Risk,1
CUST01515,2025-09-30,Tier 2,25-34,Organic,,Skin Care,No,96,3,3057.74,0.0,0.217,4.0,2,0,0.0,0.0,593,4,23,0,0,0,0,0,20,0,train,2,4,5,11,At Risk,1
CUST02300,2025-09-30,Tier 1,18-24,Google Search,,Skin Care,Yes,104,3,3051.79,0.0,0.143,3.67,2,0,0.0,0.0,377,1,4,1,0,0,3,1,29,0,validation,2,4,5,11,At Risk,1
CUST00211,2025-09-30,Tier 2,35-44,Instagram,,Makeup,Yes,90,2,3032.55,0.0,0.38,4.0,2,0,0.0,0.0,336,4,20,2,1,1,1,0,9,0,train,2,3,5,10,At Risk,1
CUST01135,2025-09-30,Tier 1,35-44,Influencer,,Fragrance,No,93,2,2933.65,0.0,0.275,4.0,2,0,0.0,0.0,384,2,6,1,1,1,0,0,18,1,train,2,3,5,10,At Risk,1
CUST00541,2025-09-30,Tier 2,45+,Google Search,,Makeup,Yes,132,4,2894.17,0.0,0.34,3.75,4,0,0.0,0.0,417,1,5,0,0,0,6,2,31,0,train,2,4,5,11,At Risk,1
CUST02289,2025-09-30,Tier 1,25-34,Organic,,Skin Care,No,93,3,2844.33,0.0,0.327,3.33,2,0,0.0,0.0,277,6,27,2,1,0,0,0,6,0,train,2,4,5,11,At Risk,1
CUST02189,2025-09-30,Tier 1,18-24,Google Search,,Wellness,Yes,87,4,2813.78,0.0,0.263,3.75,3,0,0.0,0.0,251,6,17,0,1,0,5,0,17,0,train,2,4,5,11,At Risk,1
CUST01717,2025-09-30,Tier 2,18-24,Marketplace,Silver,Makeup,Yes,125,2,2810.44,0.0,0.34,4.5,1,0,0.0,0.0,292,6,22,2,1,1,1,0,12,0,train,2,3,5,10,At Risk,1
CUST01028,2025-09-30,Tier 2,25-34,Organic,Silver,Fragrance,Yes,173,1,2809.6,0.0,0.26,4.0,1,0,0.0,0.0,173,6,20,3,0,1,0,0,45,1,test,1,2,5,8,At Risk,1
CUST00687,2025-09-30,Tier 2,25-34,Marketplace,,Makeup,No,117,3,2804.77,0.0,0.31,4.0,3,0,0.0,0.0,309,1,4,0,0,0,0,0,34,1,train,2,4,5,11,At Risk,1
CUST01189,2025-09-30,Tier 1,25-34,Organic,,Hair Care,No,161,2,2721.23,0.0,0.06,1.0,1,0,0.0,0.0,474,7,34,2,1,1,0,0,16,1,train,1,3,5,9,At Risk,1
CUST00507,2025-09-30,Tier 2,35-44,Referral,Silver,Wellness,No,120,1,2716.4,0.0,0.31,4.0,1,0,0.0,0.0,559,1,5,0,0,0,0,0,26,1,test,2,2,5,9,At Risk,1
CUST01829,2025-09-30,Tier 2,18-24,Instagram,Gold,Baby Care,Yes,101,3,2668.19,0.0,0.22,4.0,2,0,0.0,0.0,608,4,14,1,0,0,2,0,17,1,train,2,4,5,11,At Risk,1
CUST01511,2025-09-30,Tier 2,25-34,Google Search,,Fragrance,Yes,88,4,2601.14,0.0,0.135,3.75,3,0,0.0,0.0,197,11,44,4,3,2,6,1,28,0,train,2,4,5,11,At Risk,1
CUST00878,2025-09-30,Tier 2,18-24,Marketplace,,Baby Care,Yes,134,2,2578.68,0.0,0.13,2.5,2,0,0.0,0.0,217,12,66,3,3,2,6,1,14,0,test,2,3,5,10,At Risk,1
CUST00879,2025-09-30,Tier 2,35-44,Instagram,Gold,Wellness,No,155,2,2576.47,0.0,0.27,3.5,2,0,0.0,0.0,410,4,10,1,1,0,0,0,24,1,train,1,3,5,9,At Risk,1
CUST00815,2025-09-30,Tier 3,18-24,Referral,Silver,Skin Care,Yes,137,2,2569.54,0.0,0.26,4.0,2,0,0.0,0.0,396,3,12,1,0,0,0,0,31,0,test,2,3,5,10,At Risk,1
CUST00225,2025-09-30,Tier 1,18-24,Instagram,Silver,Wellness,Yes,88,2,2563.85,0.0,0.335,5.0,2,0,0.0,0.0,521,3,9,1,0,0,3,0,19,1,train,2,3,5,10,At Risk,1
CUST02061,2025-09-30,Tier 3,25-34,Marketplace,Platinum,Wellness,Yes,102,4,2511.93,0.0,0.168,4.25,3,0,0.0,0.0,325,7,34,2,2,1,2,1,13,0,train,2,4,5,11,At Risk,1
CUST01591,2025-09-30,Tier 3,25-34,Referral,,Baby Care,No,136,2,2478.69,0.0,0.3,2.5,2,0,0.0,0.0,241,4,15,2,1,1,0,0,23,1,train,2,3,5,10,At Risk,1
CUST00244,2025-09-30,Tier 2,25-34,Marketplace,,Skin Care,Yes,144,2,2449.86,0.0,0.225,3.0,1,0,0.0,0.0,233,1,5,1,0,1,0,0,23,1,train,2,3,5,10,At Risk,1
CUST02329,2025-09-30,Tier 2,35-44,Google Search,Silver,Baby Care,Yes,90,3,2353.05,0.0,0.107,4.67,2,0,0.0,0.0,380,7,30,3,1,2,6,3,17,0,test,2,4,5,11,At Risk,1
CUST01424,2025-09-30,Tier 2,25-34,Referral,Gold,Hair Care,Yes,93,1,2318.97,0.0,0.43,5.0,1,0,0.0,0.0,469,3,12,1,0,0,0,0,24,0,validation,2,2,5,9,At Risk,1
CUST01832,2025-09-30,Tier 2,25-34,Influencer,,Fragrance,Yes,95,3,2313.58,0.0,0.28,4.67,2,0,0.0,0.0,525,3,14,1,1,1,6,0,30,1,train,2,4,5,11,At Risk,1
CUST01507,2025-09-30,Tier 3,35-44,Instagram,Silver,Baby Care,Yes,125,2,2311.37,0.5,0.19,4.0,2,0,0.0,0.0,280,5,28,1,0,0,1,0,33,1,train,2,3,5,10,At Risk,1
CUST00432,2025-09-30,Tier 2,25-34,Marketplace,,Hair Care,Yes,112,2,2306.14,0.0,0.18,3.5,1,0,0.0,0.0,241,9,30,4,2,2,9,0,18,1,train,2,3,5,10,At Risk,1
CUST00765,2025-09-30,Tier 3,18-24,Google Search,,Wellness,No,98,2,2264.58,0.0,0.385,3.0,1,0,0.0,0.0,539,2,7,1,0,1,0,0,12,1,test,2,3,5,10,At Risk,1
CUST00795,2025-09-30,Tier 1,18-24,Google Search,Gold,Hair Care,No,138,2,2258.74,0.0,0.16,3.5,2,0,0.0,0.0,206,2,7,1,1,0,0,0,30,1,validation,2,3,5,10,At Risk,1
CUST01196,2025-09-30,Tier 1,25-34,Influencer,,Makeup,Yes,111,2,2239.79,0.5,0.285,5.0,2,0,0.0,0.0,584,9,30,2,2,1,5,1,16,1,test,2,3,5,10,At Risk,1
CUST00856,2025-09-30,Tier 1,18-24,Influencer,Silver,Wellness,Yes,135,1,2235.84,0.0,0.19,5.0,1,0,0.0,0.0,316,1,6,0,0,0,7,3,27,0,train,2,2,5,9,At Risk,1
CUST00870,2025-09-30,Tier 1,35-44,Influencer,,Makeup,Yes,86,3,2224.05,0.0,0.297,3.0,2,0,0.0,0.0,450,13,56,4,1,2,5,0,37,0,train,2,4,5,11,At Risk,1
CUST02298,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,100,3,2204.46,0.0,0.413,3.33,3,0,0.0,0.0,418,13,60,7,2,3,0,0,36,1,test,2,4,5,11,At Risk,1
CUST02035,2025-09-30,Tier 2,18-24,Google Search,Gold,Wellness,Yes,93,3,2201.39,0.0,0.22,2.33,2,0,0.0,0.0,264,0,0,0,0,0,6,1,23,1,test,2,4,5,11,At Risk,1
CUST01668,2025-09-30,Tier 1,35-44,Google Search,Silver,Skin Care,Yes,106,3,2195.57,0.0,0.37,4.33,3,0,0.0,0.0,613,7,36,4,1,1,5,0,14,1,validation,2,4,5,11,At Risk,1
CUST00266,2025-09-30,Tier 1,45+,Organic,,Skin Care,Yes,158,2,2193.55,0.5,0.295,2.5,1,0,0.0,0.0,562,1,4,0,0,0,0,0,22,1,test,1,3,5,9,At Risk,1
CUST01442,2025-09-30,Tier 3,25-34,Instagram,Gold,Hair Care,Yes,105,3,2184.02,0.333,0.217,4.67,2,0,0.0,0.0,317,9,48,2,1,1,3,1,18,0,test,2,4,5,11,At Risk,1
CUST01186,2025-09-30,Tier 1,18-24,Google Search,,Fragrance,Yes,153,2,2183.8,0.0,0.235,4.0,1,0,0.0,0.0,248,1,3,0,0,0,0,0,36,1,train,1,3,5,9,At Risk,1
CUST01574,2025-09-30,Tier 2,25-34,Referral,,Hair Care,Yes,161,2,2180.97,0.0,0.345,5.0,2,0,0.0,0.0,233,2,9,0,0,0,2,1,35,1,test,1,3,5,9,At Risk,1
CUST01733,2025-09-30,Tier 3,25-34,Organic,,Fragrance,Yes,92,3,2167.49,0.667,0.15,4.0,3,0,0.0,0.0,337,2,10,0,0,0,4,0,18,1,train,2,4,5,11,At Risk,1
CUST01053,2025-09-30,Tier 1,18-24,Influencer,Silver,Skin Care,No,146,1,2124.84,0.0,0.0,5.0,1,0,0.0,0.0,557,0,0,0,0,0,0,0,32,1,validation,2,2,5,9,At Risk,1
CUST00123,2025-09-30,Tier 2,18-24,Google Search,Silver,Baby Care,No,102,4,2117.52,0.0,0.335,4.0,3,0,0.0,0.0,301,2,6,1,0,1,0,0,23,0,train,2,4,5,11,At Risk,1
CUST01774,2025-09-30,Tier 1,18-24,Google Search,Gold,Skin Care,Yes,152,3,2110.43,0.333,0.297,4.67,2,0,0.0,0.0,513,0,0,0,0,0,5,2,22,1,train,1,4,5,10,At Risk,1
CUST01136,2025-09-30,Tier 2,35-44,Instagram,,Hair Care,No,97,3,2094.46,0.333,0.24,3.67,3,1,0.0,19.5,493,1,6,0,0,0,0,0,31,0,train,2,4,5,11,At Risk,1
CUST01438,2025-09-30,Tier 2,25-34,Instagram,,Baby Care,Yes,157,2,2087.95,0.0,0.305,4.5,2,0,0.0,0.0,185,0,0,0,0,0,3,0,36,1,train,1,3,5,9,At Risk,1
CUST01495,2025-09-30,Tier 1,18-24,Marketplace,Silver,Skin Care,Yes,89,3,2084.73,0.0,0.26,4.0,2,1,1.0,8.5,538,0,0,0,0,0,4,0,7,0,train,2,4,5,11,At Risk,1
CUST00826,2025-09-30,Tier 2,35-44,Marketplace,,Makeup,No,158,2,2063.86,0.0,0.265,3.5,2,0,0.0,0.0,576,9,28,4,2,2,0,0,34,1,train,1,3,5,9,At Risk,1
CUST02348,2025-09-30,Tier 1,25-34,Organic,,Fragrance,Yes,115,1,2063.46,0.0,0.22,2.0,1,0,0.0,0.0,321,6,21,1,0,0,3,1,33,0,train,2,2,5,9,At Risk,1
CUST00122,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,106,2,2048.93,0.0,0.36,4.0,2,0,0.0,0.0,189,10,39,1,2,1,10,4,30,1,train,2,3,5,10,At Risk,1
CUST02199,2025-09-30,Tier 2,35-44,Organic,,Skin Care,Yes,96,3,2042.03,0.333,0.2,4.33,2,1,1.0,26.0,344,3,13,1,0,0,0,0,16,1,train,2,4,5,11,At Risk,1
CUST01253,2025-09-30,Tier 2,45+,Referral,,Makeup,Yes,99,2,2035.62,0.0,0.15,4.0,2,0,0.0,0.0,298,13,62,4,3,2,7,1,27,1,test,2,3,5,10,At Risk,1
CUST00734,2025-09-30,Tier 2,25-34,Google Search,,Skin Care,Yes,89,2,2020.81,0.0,0.38,4.5,2,0,0.0,0.0,531,6,19,3,0,2,4,0,30,0,test,2,3,5,10,At Risk,1
CUST00599,2025-09-30,Tier 3,25-34,Marketplace,,Baby Care,Yes,169,2,2008.74,0.0,0.095,3.5,2,0,0.0,0.0,407,2,9,1,0,1,5,1,29,0,train,1,3,5,9,At Risk,1
CUST02246,2025-09-30,Tier 2,18-24,Instagram,,Fragrance,Yes,153,3,2005.87,0.0,0.307,4.0,3,0,0.0,0.0,302,6,19,3,2,2,2,1,30,1,train,1,4,5,10,At Risk,1
CUST01295,2025-09-30,Tier 1,35-44,Organic,Platinum,Makeup,Yes,121,3,1979.11,0.333,0.14,3.0,2,0,0.0,0.0,341,11,53,6,3,3,2,0,20,1,train,2,4,5,11,At Risk,1
CUST01759,2025-09-30,Tier 1,35-44,Marketplace,,Baby Care,Yes,89,2,1973.57,0.0,0.38,5.0,2,0,0.0,0.0,123,3,17,1,1,1,1,0,21,1,train,2,3,5,10,At Risk,1
CUST01445,2025-09-30,Tier 1,35-44,Instagram,,Hair Care,Yes,115,2,1969.1,0.5,0.305,4.0,2,0,0.0,0.0,466,2,5,1,1,0,8,0,29,1,train,2,3,5,10,At Risk,1
CUST00630,2025-09-30,Tier 2,25-34,Instagram,Platinum,Skin Care,Yes,93,2,1967.63,0.0,0.285,3.5,2,0,0.0,0.0,359,20,112,9,5,5,8,1,13,0,train,2,3,5,10,At Risk,1
CUST00709,2025-09-30,Tier 1,18-24,Instagram,,Fragrance,Yes,129,1,1966.47,0.0,0.13,3.0,1,0,0.0,0.0,270,0,0,0,0,0,4,0,17,1,test,2,2,5,9,At Risk,1
CUST01588,2025-09-30,Tier 1,25-34,Instagram,Silver,Wellness,No,145,3,1959.15,0.0,0.19,4.0,2,0,0.0,0.0,239,2,6,1,0,0,0,0,38,1,test,2,4,5,11,At Risk,1
CUST00623,2025-09-30,Tier 2,35-44,Marketplace,Silver,Skin Care,Yes,108,4,1945.71,0.25,0.323,4.5,4,0,0.0,0.0,231,18,70,2,3,1,7,2,15,0,train,2,4,5,11,At Risk,1
CUST01844,2025-09-30,Tier 1,25-34,Organic,Silver,Skin Care,Yes,125,2,1933.86,0.0,0.205,4.0,2,0,0.0,0.0,624,8,47,3,0,2,1,0,18,0,train,2,3,5,10,At Risk,1
CUST00423,2025-09-30,Tier 1,45+,Marketplace,Silver,Baby Care,Yes,135,2,1922.89,0.0,0.24,2.5,2,0,0.0,0.0,319,1,5,1,0,0,2,0,39,1,train,2,3,5,10,At Risk,1
CUST00527,2025-09-30,Tier 1,18-24,Marketplace,Silver,Hair Care,No,113,1,1920.65,0.0,0.32,2.0,1,0,0.0,0.0,444,1,5,0,0,0,0,0,23,0,train,2,2,5,9,At Risk,1
CUST01491,2025-09-30,Tier 2,25-34,Marketplace,Silver,Fragrance,Yes,87,2,1889.89,0.0,0.245,4.5,2,0,0.0,0.0,365,6,24,2,2,0,0,0,16,0,train,2,3,4,9,At Risk,1
CUST02243,2025-09-30,Tier 2,18-24,Instagram,Silver,Hair Care,No,133,2,1888.92,0.0,0.135,4.5,2,0,0.0,0.0,398,7,33,3,1,1,0,0,31,1,train,2,3,4,9,At Risk,1
CUST00573,2025-09-30,Tier 2,35-44,Google Search,Silver,Makeup,Yes,125,3,1879.54,0.0,0.323,3.67,3,0,0.0,0.0,315,0,0,0,0,0,0,0,25,1,train,2,4,4,10,At Risk,1
CUST01321,2025-09-30,Tier 3,35-44,Instagram,,Hair Care,Yes,99,5,1878.1,0.0,0.36,4.0,3,0,0.0,0.0,571,12,32,1,1,0,8,2,17,0,train,2,5,4,11,At Risk,1
CUST01828,2025-09-30,Tier 1,35-44,Instagram,,Skin Care,Yes,122,3,1876.83,0.0,0.287,4.0,3,0,0.0,0.0,238,5,18,2,1,0,6,3,16,1,train,2,4,4,10,At Risk,1
CUST02006,2025-09-30,Tier 1,25-34,Influencer,,Fragrance,Yes,99,1,1872.67,0.0,0.23,4.0,1,0,0.0,0.0,408,2,9,0,0,0,0,0,12,0,train,2,2,4,8,At Risk,1
CUST01777,2025-09-30,Tier 2,18-24,Marketplace,,Skin Care,Yes,167,2,1872.12,0.0,0.19,4.5,2,0,0.0,0.0,397,6,31,0,1,0,3,1,44,1,validation,1,3,4,8,At Risk,1
CUST00982,2025-09-30,Tier 1,35-44,Instagram,,Makeup,Yes,90,4,1862.89,0.0,0.33,3.75,3,0,0.0,0.0,157,4,17,2,1,1,4,2,11,0,validation,2,4,4,10,At Risk,1
CUST01757,2025-09-30,Tier 2,45+,Google Search,Silver,Hair Care,No,167,2,1856.03,0.0,0.115,4.0,2,0,0.0,0.0,223,1,5,0,0,0,0,0,40,1,train,1,3,4,8,At Risk,1
CUST01550,2025-09-30,Tier 2,45+,Influencer,,Baby Care,Yes,109,4,1841.6,0.0,0.27,4.25,2,0,0.0,0.0,449,5,28,3,1,1,4,0,37,1,train,2,4,4,10,At Risk,1
CUST00835,2025-09-30,Tier 1,25-34,Instagram,Gold,Makeup,No,157,3,1837.3,0.0,0.29,4.33,3,0,0.0,0.0,626,8,23,4,1,3,0,0,12,1,validation,1,4,4,9,At Risk,1
CUST01460,2025-09-30,Tier 1,35-44,Referral,,Wellness,No,128,3,1836.58,0.0,0.173,2.67,3,0,0.0,0.0,481,4,15,1,1,0,0,0,37,1,train,2,4,4,10,At Risk,1
CUST02131,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,No,93,3,1836.28,0.0,0.337,4.0,2,0,0.0,0.0,424,2,9,0,1,0,0,0,29,0,validation,2,4,4,10,At Risk,1
CUST01079,2025-09-30,Tier 2,25-34,Google Search,,Skin Care,Yes,177,1,1832.92,0.0,0.1,4.0,1,0,0.0,0.0,183,5,20,1,1,0,2,0,33,1,test,1,2,4,7,At Risk,1
CUST02262,2025-09-30,Tier 2,25-34,Instagram,Silver,Hair Care,No,97,2,1826.68,0.0,0.27,4.5,2,0,0.0,0.0,274,0,0,0,0,0,0,0,30,1,train,2,3,4,9,At Risk,1
CUST00165,2025-09-30,Tier 2,18-24,Instagram,Gold,Skin Care,Yes,103,3,1825.77,0.0,0.31,4.67,1,0,0.0,0.0,249,2,8,0,0,0,0,0,15,0,validation,2,4,4,10,At Risk,1
CUST01234,2025-09-30,Tier 1,25-34,Google Search,,Hair Care,Yes,115,2,1809.4,0.0,0.215,4.5,2,0,0.0,0.0,216,3,10,1,1,0,4,1,32,1,train,2,3,4,9,At Risk,1
CUST00981,2025-09-30,Tier 2,25-34,Organic,Gold,Fragrance,Yes,103,2,1804.73,0.0,0.29,4.5,2,0,0.0,0.0,487,6,16,3,1,2,1,0,22,0,validation,2,3,4,9,At Risk,1
CUST01650,2025-09-30,Tier 1,35-44,Instagram,Silver,Makeup,Yes,102,1,1797.67,0.0,0.41,4.0,1,0,0.0,0.0,114,9,38,2,1,1,8,3,21,0,train,2,2,4,8,At Risk,1
CUST00419,2025-09-30,Tier 1,18-24,Instagram,,Skin Care,Yes,98,2,1795.1,0.0,0.3,5.0,1,0,0.0,0.0,135,12,50,3,2,2,5,1,30,1,train,2,3,4,9,At Risk,1
CUST00493,2025-09-30,Tier 1,45+,Marketplace,Silver,Makeup,Yes,108,2,1757.06,0.5,0.285,3.0,2,0,0.0,0.0,374,10,41,4,2,2,8,3,21,1,test,2,3,4,9,At Risk,1
CUST00302,2025-09-30,Tier 2,18-24,Google Search,Silver,Baby Care,Yes,148,2,1740.35,0.5,0.38,4.5,2,0,0.0,0.0,476,4,12,2,1,1,6,2,27,1,train,1,3,4,8,At Risk,1
CUST02228,2025-09-30,Tier 2,25-34,Referral,Silver,Baby Care,Yes,87,2,1733.9,0.5,0.325,4.5,2,1,0.0,18.9,313,4,15,1,1,1,1,0,3,1,train,2,3,4,9,At Risk,1
CUST00793,2025-09-30,Tier 2,25-34,Referral,Silver,Baby Care,Yes,113,1,1730.51,0.0,0.26,5.0,1,0,0.0,0.0,338,1,5,0,0,0,3,1,4,1,train,2,2,4,8,At Risk,1
CUST00472,2025-09-30,Tier 1,18-24,Marketplace,,Fragrance,Yes,114,1,1728.07,0.0,0.04,5.0,1,0,0.0,0.0,426,0,0,0,0,0,0,0,29,0,train,2,2,4,8,At Risk,1
CUST00497,2025-09-30,Tier 1,25-34,Referral,,Hair Care,Yes,159,1,1724.62,0.0,0.14,2.0,1,0,0.0,0.0,164,1,5,0,0,0,6,2,32,1,train,1,2,4,7,At Risk,1
CUST00294,2025-09-30,Tier 2,25-34,Referral,Platinum,Skin Care,Yes,102,1,1714.42,0.0,0.12,5.0,1,0,0.0,0.0,124,15,54,6,3,2,12,6,35,0,train,2,2,4,8,At Risk,1
CUST00057,2025-09-30,Tier 2,25-34,Google Search,,Hair Care,Yes,136,1,1713.34,0.0,0.14,3.0,1,0,0.0,0.0,250,7,21,1,0,0,9,1,29,1,train,2,2,4,8,At Risk,1
CUST01653,2025-09-30,Tier 2,45+,Google Search,Silver,Skin Care,No,87,2,1706.87,0.0,0.21,5.0,1,1,1.0,10.3,287,0,0,0,0,0,0,0,5,1,train,2,3,4,9,At Risk,1
CUST00871,2025-09-30,Tier 2,45+,Influencer,,Fragrance,No,122,3,1703.85,0.0,0.243,3.33,2,0,0.0,0.0,474,3,14,1,1,1,0,0,23,1,train,2,4,4,10,At Risk,1
CUST00869,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,Yes,93,3,1700.01,0.0,0.347,2.67,1,0,0.0,0.0,362,0,0,0,0,0,1,0,4,1,validation,2,4,4,10,At Risk,1
CUST02281,2025-09-30,Tier 2,25-34,Instagram,,Baby Care,Yes,120,2,1698.68,0.0,0.24,4.0,1,0,0.0,0.0,167,8,45,1,1,1,3,0,28,1,train,2,3,4,9,At Risk,1
CUST00072,2025-09-30,Tier 1,35-44,Organic,,Skin Care,Yes,90,2,1697.84,0.0,0.21,2.5,2,0,0.0,0.0,343,7,26,3,2,2,5,1,26,1,train,2,3,4,9,At Risk,1
CUST00183,2025-09-30,Tier 2,25-34,Instagram,,Fragrance,Yes,152,1,1689.98,0.0,0.18,5.0,1,0,0.0,0.0,503,1,6,0,0,0,4,1,26,1,test,1,2,4,7,At Risk,1
CUST00304,2025-09-30,Tier 2,25-34,Influencer,,Baby Care,Yes,87,2,1687.98,0.0,0.205,3.5,2,0,0.0,0.0,257,4,19,1,1,1,8,3,5,1,train,2,3,4,9,At Risk,1
CUST02118,2025-09-30,Tier 3,35-44,Organic,Silver,Skin Care,No,93,1,1687.7,0.0,0.45,5.0,1,0,0.0,0.0,573,5,23,2,1,1,0,0,19,1,train,2,2,4,8,At Risk,1
CUST00514,2025-09-30,Tier 1,35-44,Influencer,,Makeup,Yes,93,1,1687.55,0.0,0.2,5.0,1,0,0.0,0.0,95,11,55,1,0,0,10,4,13,1,validation,2,2,4,8,At Risk,1
CUST01510,2025-09-30,Tier 2,18-24,Referral,,Skin Care,Yes,132,2,1667.1,0.0,0.315,2.5,2,0,0.0,0.0,206,7,38,1,1,1,5,2,32,1,test,2,3,4,9,At Risk,1
